"","word","count","rank","zipfs_freq"
"177","mr.",515685,177,171282.025515929
"178","new",508486,178,170329.362721124
"179","things",503642,179,169387.291278647
"180","always",503417,180,168455.635249463
"181","keep",498392,181,167534.222573077
"182","long",496267,182,166622.884961197
"183","years",481860,183,165721.457794867
"184","leave",478282,184,164829.780024953
"185","does",478174,185,163947.694075857
"186","money",471643,186,163075.045752319
"187","around",471463,187,162211.684149219
"188","doesn",471037,188,161357.461564241
"189","name",455543,189,160512.233413314
"190","place",444863,190,159675.85814871
"191","ever",444088,191,158848.19717972
"192","feel",444014,192,158029.114795799
"193","guys",442241,193,157218.478092096
"194","father",437537,194,156416.156897285
"195","guy",435832,195,155622.023703618
"196","made",433900,196,154835.953599103
"197","old",431911,197,154057.824201757
"198","isn",429536,198,153287.515595844
"199","which",422483,199,152524.910270027
"200","big",417218,200,151769.89305738
"201","lot",411660,201,151022.351077183
"202","done",408760,202,150282.173678445
"203","hello",405534,203,149549.252385094
"204","nice",405497,204,148823.480842774
"205","believe",403874,205,148104.754767198
"206","girl",402557,206,147392.971894005
"207","someone",401162,207,146688.031930063
"208","fine",400530,208,145989.836506179
"209","thanks",395690,209,145298.289131163
"210","wanted",392510,210,144613.295147201
"211","kind",392242,211,143934.761686497
"212","coming",389949,212,143262.597629138
"213","house",388585,213,142596.713562144
"214","every",388520,214,141937.021739669
"215","ok",388338,215,141283.436044302
"216","through",388127,216,140635.871949453
"217","being",386528,217,139994.246482762
"218","course",381816,218,139358.478190528
"219","stay",378726,219,138728.487103106
"220","left",378587,220,138104.19470124
"221","dad",378540,221,137485.523883316
"222","enough",376973,222,136872.398933498
"223","happened",375703,223,136264.745490716
"224","came",374486,224,135662.490518487
"225","may",373526,225,135065.562275536
"226","mother",372846,226,134473.8902872
"227","wrong",370949,227,133887.405317583
"228","world",370620,228,133306.039342442
"229","bad",369996,229,132729.725522788
"230","might",367145,230,132158.398179168
"231","three",366626,231,131591.992766616
"232","today",366395,232,131030.445850254
"233","listen",365791,233,130473.695081513
"234","another",365421,234,129921.679174971
"235","understand",365210,235,129374.337885778
"236","hear",360665,236,128831.611987651
"237","remember",358291,237,128293.443251427
"238","ask",354323,238,127759.77442416
"239","own",352542,239,127230.549208739
"240","same",348167,240,126705.712244007
"241","show",347408,241,126185.209085391
"242","else",340756,242,125668.986185995
"243","kill",339509,243,125156.990878168
"244","talking",337629,244,124649.171355523
"245","found",337382,245,124145.476655393
"246","next",335573,246,123645.856641719
"247","getting",331186,247,123150.261988348
"248","care",330956,248,122658.644162737
"249","car",330261,249,122170.955410048
"250","looking",326550,250,121687.148737628
"251","son",325997,251,121207.177899852
"252","try",325748,252,120730.997383331
"253","woman",324673,253,120258.562392472
"254","went",321824,254,119789.828835375
"255","hi",320316,255,119324.753310061
"256","dead",317589,256,118863.293091025
"257","many",314850,257,118405.406116102
"258","mind",312927,258,117951.050973634
"259","wasn",312240,259,117500.18688994
"260","friend",308204,260,117052.77371707
"261","best",307071,261,116608.771920843
"262","mom",305139,262,116168.142569153
"263","hell",304275,263,115730.847320551
"264","morning",303550,264,115296.848413077
"265","trying",303288,265,114866.108653347
"266","boy",302508,266,114438.591405891
"267","together",302404,267,114014.260582721
"268","yourself",302013,268,113593.08063314
"269","job",298911,269,113175.016533774
"270","saw",297985,270,112760.033778827
"271","family",294543,271,112348.098370548
"272","real",294536,272,111939.176809914
"273","without",290509,273,111533.236087512
"274","baby",290496,274,111130.243674621
"275","room",290206,275,110730.167514491
"276","wouldn",288422,276,110332.976013811
"277","already",287837,277,109938.638034358
"278","move",283807,278,109547.122884827
"279","most",283006,279,109158.400312843
"280","seen",282420,280,108772.440497133
"281","live",281046,281,108389.214039873
"282","miss",280930,282,108008.691959194
"283","actually",279595,283,107630.845681848
"284","huh",274656,284,107255.647036027
"285","shit",273312,285,106883.068244338
"286","both",270720,286,106513.081916916
"287","heard",269851,287,106145.661044691
"288","once",269704,288,105780.778992784
"289","ready",267268,289,105418.409494053
"290","head",266844,290,105058.52664276
"291","called",264588,291,104701.104888377
"292","used",263566,292,104346.119029513
"293","idea",263097,293,103993.544207969
"294","knew",262988,294,103643.355902915
"295","hold",262367,295,103295.529925178
"296","happy",262141,296,102950.042411656
"297","door",261118,297,102606.869819839
"298","such",261104,298,102265.988922435
"299","fuck",260121,299,101927.376802117
"300","brother",259877,300,101591.010846363
"301","also",259803,301,101256.868742401
"302","pretty",259500,302,100924.928472262
"303","bit",258929,303,100595.168307918
"304","took",258808,304,100267.566806529
"305","haven",258463,305,99942.1028057716
"306","yet",257947,306,99618.7554192688
"307","men",257319,307,99297.5040321021
"308","whole",257109,308,98978.3282964146
"309","start",256417,309,98661.2081270975
"310","use",256079,310,98346.1236975613
"311","while",255970,311,98033.0554355872
"312","since",254427,312,97721.9840192591
"313","wife",254038,313,97412.890372973
"314","days",253171,314,97105.7556635225
"315","guess",250320,315,96800.561296259
"316","tomorrow",248729,316,96497.2889113246
"317","matter",247812,317,96195.9203799557
"318","meet",247466,318,95896.4378008574
"319","bring",247343,319,95598.8234966444
"320","tonight",246514,320,95303.0600103498
"321","everyone",246032,321,95009.1301019989
"322","run",244200,322,94717.0167452458
"323","wanna",243109,323,94426.7031240732
"324","hard",242871,324,94138.1726295536
"325","ah",242456,325,93851.4088566686
"326","alone",240475,326,93566.3956011887
"327","myself",240460,327,93283.1168566086
"328","school",240176,328,93001.5568111391
"329","gone",240082,329,92721.6998447542
"330","um",238853,330,92443.5305262909
"331","end",237387,331,92167.0336106022
"332","saying",236600,332,91892.194035761
"333","phone",235246,333,91618.996920315
"334","play",233865,334,91347.4275605895
"335","looks",233814,335,91077.4714280403
"336","couldn",233368,336,90809.1141666518
"337","fucking",232845,337,90542.3415903831
"338","problem",232325,338,90277.1396806579
"339","few",231375,339,90013.4945838999
"340","friends",230464,340,89751.392609111
"341","gotta",230351,341,89490.8202254923
"342","ago",229751,342,89231.7640601062
"343","open",229669,343,88974.2108955803
"344","anyone",228332,344,88718.1476678508
"345","killed",228297,345,88463.5614639444
"346","hope",226993,346,88210.4395198
"347","face",225482,347,87958.7692181268
"348","until",225171,348,87708.5380862999
"349","lost",222398,349,87459.7337942918
"350","police",221380,350,87212.3441526393
"351","excuse",219855,351,86966.357110445
"352","turn",218563,352,86721.7607534135
"353","business",215855,353,86478.5433019196
"354","case",215274,354,86236.6931091105
"355","wants",215149,355,85996.1986590392
"356","says",215090,356,85757.0485648299
"357","TRUE",214773,357,85519.2315668736
"358","die",214062,358,85282.736531054
"359","heart",213914,359,85047.5524470036
"360","soon",213279,360,84813.6684263883
"361","each",211943,361,84581.0737012201
"362","worry",211329,362,84349.7576221988
"363","later",208878,363,84119.7096570798
"364","year",208705,364,83890.9193890698
"365","watch",207949,365,83663.3765152485
"366","music",207205,366,83437.0708450156
"367","hand",206247,367,83211.992298564
"368","having",206106,368,82988.1309053773
"369","probably",202736,369,82765.4768027518
"370","beautiful",200811,370,82544.0202343424
"371","doctor",198424,371,82323.7515487323
"372","sit",198149,372,82104.6611980253
"373","eat",197654,373,81886.7397364609
"374","thinking",195875,374,81669.9778190516
"375","young",194810,375,81454.3662002417
"376","second",193687,376,81239.8957325881
"377","working",193172,377,81026.5573654614
"378","water",193014,378,80814.3421437678
"379","person",192652,379,80603.2412066915
"380","part",192248,380,80393.2457864564
"381","kids",192050,381,80184.3472071075
"382","late",191989,382,79976.5368833117
"383","stuff",190629,383,79769.806319177
"384","exactly",189513,384,79564.1471070901
"385","under",189347,385,79359.5509265724
"386","death",189000,386,79156.0095431532
"387","minute",188958,387,78953.5148072611
"388","pay",188822,388,78752.058653132
"389","crazy",188767,389,78551.6330977337
"390","forget",188628,390,78352.230239708
"391","everybody",188532,391,78153.8422583277
"392","kid",187858,392,77956.4614124705
"393","change",186962,393,77760.080039608
"394","gave",186445,394,77564.6905548109
"395","happen",186041,395,77370.2854497679
"396","damn",184228,396,77176.8572918206
"397","five",183626,397,76984.3987230129
"398","drink",182580,398,76792.9024591535
"399","far",182287,399,76602.3612888945
"400","knows",181663,400,76412.7680728218
"401","its",180594,401,76224.1157425602
"402","whatever",180082,402,76036.3972998918
"403","eyes",179260,403,75849.6058158871
"404","shut",178378,404,75663.7344300491
"405","aren",178286,405,75478.7763494703
"406","hit",177770,406,75294.7248480018
"407","taking",177667,407,75111.5732654352
"408","easy",177337,408,74929.3150066956
"409","times",176522,409,74747.943541047
"410","check",176507,410,74567.4524013098
"411","hands",176291,411,74387.8351830884
"412","minutes",175091,412,74209.0855440112
"413","deal",174929,413,74031.1972029811
"414","different",174657,414,73854.163939437
"415","means",174311,415,73677.9795926258
"416","point",174205,416,73502.638060885
"417","inside",174081,417,73328.1333009356
"418","makes",172281,418,73154.4593271853
"419","asked",171740,419,72981.6102110411
"420","somebody",171596,420,72809.5800802324
"421","mine",170636,421,72638.3631181434
"422","making",169037,422,72467.9535631548
"423","body",168798,423,72298.3457079952
"424","afraid",168774,424,72129.5338991013
"425","sleep",168103,425,71961.5125359877
"426","chance",167981,426,71794.2760706244
"427","dear",167351,427,71627.8190068248
"428","quite",166980,428,71462.1358996402
"429","four",166957,429,71297.2213547647
"430","anyway",166702,430,71133.0700279468
"431","close",166677,431,70969.6766244107
"432","ain",166551,432,70807.0358982837
"433","party",166137,433,70645.1426520336
"434","fun",165693,434,70483.9917359125
"435","against",165033,435,70323.5780474085
"436","word",164938,436,70163.8965307054
"437","comes",164503,437,70004.9421761492
"438","important",164386,438,69846.7100197223
"439","set",164165,439,69689.1951425251
"440","shall",164162,440,69532.3926702634
"441","story",164040,441,69376.2977727449
"442","number",163259,442,69220.9056633801
"443","daughter",163071,443,69066.211598692
"444","least",162905,444,68912.2108778313
"445","waiting",162571,445,68758.8988420983
"446","hurt",161421,446,68606.2708744712
"447","wish",160204,447,68454.3223991414
"448","moment",159995,448,68303.0488810536
"449","fight",159911,449,68152.4458254536
"450","week",159444,450,68002.5087774412
"451","husband",159394,451,67853.2333215289
"452","girls",159061,452,67704.6150812073
"453","rest",158976,453,67556.6497185153
"454","married",157817,454,67409.3329336167
"455","fire",157532,455,67262.660464382
"456","game",157501,456,67116.6280859756
"457","nobody",157014,457,66971.231610449
"458","mr",156641,458,66826.4668863383
"459","children",156181,459,66682.3297982681
"460","side",155667,460,66538.8162665596
"461","stand",155391,461,66395.9222468447
"462","read",154667,462,66253.643729684
"463","though",154479,463,66111.976740191
"464","cut",154407,464,65970.9173376597
"465","started",154345,465,65830.4616151988
"466","sister",154095,466,65690.6056993686
"467","supposed",153117,467,65551.3457498244
"468","between",152520,468,65412.6779589629
"469","child",151864,469,65274.5985515745
"470","goes",151195,470,65137.1037844988
"471","hours",151156,471,65000.1899462857
"472","speak",150927,472,64863.8533568592
"473","women",150803,473,64728.0903671875
"474","behind",148469,474,64592.8973589553
"475","almost",148405,475,64458.2707442417
"476","truth",148389,476,64324.2069652013
"477","blood",147913,477,64190.7024937494
"478","able",147205,478,64057.7538312519
"479","lady",147121,479,63925.3575082176
"480","anymore",146903,480,63793.5100839963
"481","playing",146615,481,63662.2081464786
"482","gets",146064,482,63531.4483118011
"483","shot",144772,483,63401.2272240544
"484","reason",144399,484,63271.5415549945
"485","trouble",143235,485,63142.3880037589
"486","break",143107,486,63013.7632965849
"487","war",142825,487,62885.6641865318
"488","city",142573,488,62758.0874532074
"489","walk",142055,489,62631.0299024963
"490","town",141835,490,62504.4883662925
"491","trust",141327,491,62378.4597022354
"492","dr.",141231,492,62252.9407934483
"493","met",141208,493,62127.9285482806
"494","office",141140,494,62003.419900053
"495","question",140970,495,61879.4118068057
"496","brought",140661,496,61755.9012510499
"497","yours",140553,497,61632.8852395218
"498","welcome",140327,498,61510.36080294
"499","high",140078,499,61388.3249957658
"500","wow",139593,500,61266.7748959661
"501","couple",138996,501,61145.7076047793
"502","half",138527,502,61025.1202464839
"503","died",138432,503,60905.0099681702
"504","cool",138139,504,60785.3739395141
"505","free",137598,505,60666.2093525542
"506","either",137448,506,60547.5134214711
"507","seems",136699,507,60429.2833823694
"508","power",136611,508,60311.5164930627
"509","whoa",136564,509,60194.2100328603
"510","bye",136276,510,60077.3613023574
"511","buy",136137,511,59960.9676232266
"512","telling",136109,512,59845.0263380131
"513","honey",135631,513,59729.5348099313
"514","tried",135401,514,59614.4904226641
"515","front",135341,515,59499.8905801651
"516","team",134358,516,59385.7327064616
"517","answer",134088,517,59272.014245462
"518","gun",133072,518,59158.7326607632
"519","boys",132594,519,59045.8854354623
"520","line",132433,520,58933.4700719685
"521","send",131999,521,58821.4840918189
"522","news",131599,522,58709.9250354953
"523","stupid",131497,523,58598.7904622434
"524","bed",131445,524,58488.0779498943
"525","hurry",130182,525,58377.7850946879
"526","full",129735,526,58267.9095110978
"527","months",129732,527,58158.4488316592
"528","save",129390,528,58049.4007067978
"529","sometimes",128779,529,57940.7628046615
"530","become",128716,530,57832.5328109529
"531","along",128220,531,57724.7084287649
"532","hate",128153,532,57617.2873784174
"533","food",127657,533,57510.2673972957
"534","outside",127251,534,57403.6462396918
"535","light",126657,535,57297.4216766456
"536","l",126518,536,57191.5914957902
"537","needs",126398,537,57086.1535011967
"538","dog",125769,538,56981.1055132223
"539","country",125731,539,56876.4453683593
"540","clear",125730,540,56772.1709190863
"541","order",125446,541,56668.2800337202
"542","em",125033,542,56564.7705962708
"543","fact",124995,543,56461.6405062965
"544","lord",124880,544,56358.8876787618
"545","captain",124874,545,56256.5100438959
"546","six",124087,546,56154.5055470533
"547","hot",123994,547,56052.8721485762
"548","funny",123924,548,55951.6078236575
"549","black",123718,549,55850.7105622062
"550","mrs.",123530,550,55750.1783687135
"551","alive",122833,551,55650.0092621213
"552","pick",122698,552,55550.201275691
"553","feeling",122065,553,55450.7524568745
"554","living",121552,554,55351.6608671865
"555","cause",121264,555,55252.924582078
"556","ahead",120295,556,55154.541690811
"557","lose",118712,557,55056.5102963353
"558","king",118230,558,54958.8285151653
"559","plan",118129,559,54861.4944772597
"560","dinner",117970,560,54764.5063259013
"561","sighs",117410,561,54667.8622175785
"562","sort",117267,562,54571.560321868
"563","leaving",117050,563,54475.598821319
"564","shouldn",117029,564,54379.9759113384
"565","running",116973,565,54284.689800077
"566","boss",116736,566,54189.7387083173
"567","alright",116629,567,54095.1208693624
"568","promise",115908,568,54000.834528926
"569","taken",115236,569,53906.8779450233
"570","safe",114104,570,53813.2493878637
"571","ma",114026,571,53719.9471397438
"572","book",113963,572,53626.9694949425
"573","sent",113959,573,53534.314759616
"574","white",112881,574,53441.9812516952
"575","hour",112782,575,53349.967300783
"576","anybody",112582,576,53258.2712480533
"577","small",112316,577,53166.8914461514
"578","perfect",112229,578,53075.8262590941
"579","'cause",112193,579,52985.0740621724
"580","lives",110583,580,52894.6332418544
"581","special",110344,581,52804.5021956889
"582","parents",110206,582,52714.6793322109
"583","s",110199,583,52625.1630708471
"584","john",109966,584,52535.9518418235
"585","himself",109748,585,52447.0440860723
"586","perhaps",109240,586,52358.4382551417
"587","sounds",109140,587,52270.1328111051
"588","serious",108774,588,52182.1262264719
"589","sick",108596,589,52094.4169840991
"590","company",108073,590,52007.0035771038
"591","ha",107974,591,51919.8845087767
"592","scared",107906,592,51833.058292496
"593","uncle",107826,593,51746.5234516427
"594","poor",107444,594,51660.2785195168
"595","red",106589,595,51574.3220392538
"596","past",106439,596,51488.6525637424
"597","earth",106394,597,51403.268655543
"598","possible",106080,598,51318.1688868072
"599","shoot",106067,599,51233.3518391976
"600","touch",105846,600,51148.8161038087
"601","sound",105298,601,51064.5602810889
"602","top",105282,602,50980.5829807628
"603","ass",105009,603,50896.8828217543
"604","laughs",104913,604,50813.4584321108
"605","cannot",103913,605,50730.3084489276
"606","asking",102974,606,50647.431518274
"607","win",102956,607,50564.826295119
"608","glad",102848,608,50482.4914432585
"609","control",102782,609,50400.4256352429
"610","hmm",102607,610,50318.6275523054
"611","human",102595,611,50237.0958842914
"612","drive",102436,612,50155.8293295878
"613","hair",101852,613,50074.8265950539
"614","jack",101666,614,49994.0863959523
"615","bitch",101302,615,49913.607455881
"616","luck",101228,616,49833.3885067053
"617","murder",101133,617,49753.4282884917
"618","happens",100847,618,49673.725549441
"619","air",100137,619,49594.2790458231
"620","ten",100133,620,49515.087541912
"621","daddy",100005,621,49436.1498099214
"622","finally",99904,622,49357.4646299413
"623","chuckles",99607,623,49279.0307898742
"624","fast",99084,624,49200.8470853735
"625","cold",99032,625,49122.912319781
"626","seem",98575,626,49045.2253040659
"627","laughing",98420,627,48967.7848567641
"628","words",98242,628,48890.5898039178
"629","hospital",98076,629,48813.6389790163
"630","street",98007,630,48736.9312229368
"631","hang",97778,631,48660.4653838861
"632","dance",97339,632,48584.2403173425
"633","meeting",97328,633,48508.2548859988
"634","till",97044,634,48432.5079597053
"635","others",96631,635,48356.9984154137
"636","catch",96609,636,48281.7251371211
"637","follow",96529,637,48206.6870158152
"638","sense",96442,638,48131.8829494193
"639","sex",96431,639,48057.3118427384
"640","lie",95930,640,47982.9726074052
"641","evening",95321,641,47908.8641618273
"642","master",95131,642,47834.9854311344
"643","known",95125,643,47761.335347126
"644","dream",95089,644,47687.9128482202
"645","write",94964,645,47614.7168794017
"646","million",94514,646,47541.7463921718
"647","voice",94104,647,47469.0003444978
"648","sweet",94057,648,47396.4777007632
"649","rather",94057,649,47324.1774317186
"650","felt",93826,650,47252.0985144324
"651","sign",92512,651,47180.2399322428
"652","lucky",92377,652,47108.6006747098
"653","somewhere",92265,653,47037.1797375671
"654","bet",91573,654,46965.9761226757
"655","o",91243,655,46894.9888379769
"656","jesus",91143,656,46824.2168974459
"657","longer",91035,657,46753.6593210462
"658","calling",90868,658,46683.3151346842
"659","worked",90771,659,46613.1833701641
"660","quiet",90552,660,46543.2630651432
"661","looked",90441,661,46473.5532630879
"662","less",90011,662,46404.05301323
"663","pull",89880,663,46334.761370523
"664","beat",89787,664,46265.6773955992
"665","careful",89667,665,46196.8001547275
"666","coffee",89650,666,46128.1287197703
"667","return",89451,667,46059.6621681426
"668","secret",89236,668,45991.3995827699
"669","weeks",88925,669,45923.3400520472
"670","weren",88427,670,45855.4826697987
"671","date",88407,671,45787.8265352367
"672","seeing",88192,672,45720.3707529221
"673","fall",87762,673,45653.1144327247
"674","given",87738,674,45586.0566897838
"675","ooh",87683,675,45519.1966444689
"676","fault",87420,676,45452.533422342
"677","straight",87378,677,45386.0661541184
"678","takes",86959,678,45319.7939756292
"679","song",86877,679,45253.7160277837
"680","future",86832,680,45187.831456532
"681","gentlemen",86660,681,45122.1394128282
"682","loved",86138,682,45056.6390525938
"683","changed",86133,683,44991.3295366811
"684","road",85751,684,44926.2100308378
"685","calm",85638,685,44861.2797056707
"686","wonderful",85617,686,44796.5377366108
"687","mad",85366,687,44731.9833038781
"688","turned",85279,688,44667.6155924469
"689","drop",85186,689,44603.4337920114
"690","ladies",85029,690,44539.4370969512
"691","learn",84936,691,44475.6247062983
"692","step",84882,692,44411.9958237026
"693","absolutely",84856,693,44348.5496573992
"694","early",84836,694,44285.2854201754
"695","explain",84368,695,44222.2023293379
"696","clean",84238,696,44159.2996066804
"697","piece",84224,697,44096.5764784514
"698","yesterday",83823,698,44034.0321753227
"699","throw",83679,699,43971.6659323572
"700","picture",83461,700,43909.4769889784
"701","land",83422,701,43847.4645889386
"702","feet",83295,702,43785.6279802886
"703","wonder",82903,703,43723.9664153471
"704","questions",82887,704,43662.4791506703
"705","speaking",82769,705,43601.1654470221
"706","worth",82559,706,43540.0245693441
"707","darling",82240,707,43479.0557867265
"708","dude",82190,708,43418.2583723784
"709","giving",82085,709,43357.6316035993
"710","president",81980,710,43297.1747617499
"711","eye",81953,711,43236.8871322238
"712","quick",81548,712,43176.7680044195
"713","moving",81193,713,43116.8166717119
"714","figure",81048,714,43057.0324314245
"715","state",80818,715,42997.4145848026
"716","strong",80501,716,42937.9624369848
"717","sam",80423,717,42878.6752969771
"718","none",80315,718,42819.5524776251
"719","amazing",80267,719,42760.5932955878
"720","ones",79546,720,42701.797071311
"721","works",79323,721,42643.1631290013
"722","act",79020,722,42584.6907966
"723","needed",78920,723,42526.3794057571
"724","weird",78317,724,42468.228291806
"725","law",78264,725,42410.2367937383
"726","worried",78083,726,42352.4042541781
"727","report",77824,727,42294.7300193577
"728","goodbye",77514,728,42237.2134390923
"729","missing",77326,729,42179.8538667561
"730","choice",77197,730,42122.6506592572
"731","happening",77052,731,42065.6031770143
"732","chief",76951,732,42008.7107839321
"733","wedding",76940,733,41951.9728473779
"734","strange",76863,734,41895.388738158
"735","general",76816,735,41838.9578304944
"736","pain",76799,736,41782.6795020016
"737","'am",76751,737,41726.5531336635
"738","kidding",76744,738,41670.5781098108
"739","decided",76683,739,41614.7538180983
"740","ya",76658,740,41559.0796494826
"741","pass",76635,741,41503.5549981997
"742","tired",76540,742,41448.1792617432
"743","class",76489,743,41392.951840842
"744","officer",76015,744,41337.8721394391
"745","kept",75930,745,41282.9395646696
"746","wake",75776,746,41228.1535268397
"747","worse",75595,747,41173.5134394054
"748","busy",75557,748,41119.0187189515
"749","eh",75178,749,41064.6687851707
"750","mistake",74957,750,41010.4630608429
"751","kiss",74790,751,40956.4009718147
"752","court",74580,752,40902.4819469794
"753","building",74492,753,40848.705418256
"754","finish",74299,754,40795.0708205702
"755","during",74298,755,40741.5775918337
"756","age",74262,756,40688.2251729248
"757","ship",74224,757,40635.013007669
"758","caught",74060,758,40581.9405428192
"759","marry",73938,759,40529.007228037
